╰─ ./profile_sec2_new 25 1
function: dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | split | karatsuba | avx2 | avx2 loop-unrolled | avx512 | avx512 loop-unrolled
bitsize: 25

len/func        s-novec         s-vec           s-unr           split           kara            avx2            avx2u   avx512          avx512u
1               1.260e-09       1.820e-09       2.110e-09       2.940e-09       2.980e-09       2.080e-09       2.270e-09       2.100e-09       2.280e-09
2               1.480e-09       2.300e-09       2.070e-09       3.810e-09       3.850e-09       2.370e-09       2.210e-09       2.510e-09       2.490e-09
3               2.370e-09       2.700e-09       2.150e-09       4.670e-09       4.680e-09       2.550e-09       2.760e-09       2.730e-09       2.760e-09
4               2.580e-09       3.160e-09       2.130e-09       3.300e-09       3.410e-09       2.120e-09       3.000e-09       3.010e-09       2.970e-09
5               2.830e-09       3.560e-09       2.530e-09       4.300e-09       4.480e-09       2.110e-09       2.350e-09       3.190e-09       3.200e-09
6               2.450e-09       4.040e-09       2.690e-09       5.130e-09       5.430e-09       2.390e-09       2.570e-09       3.500e-09       3.450e-09
7               2.640e-09       4.560e-09       3.010e-09       6.030e-09       6.260e-09       2.220e-09       2.710e-09       3.190e-09       3.740e-09
8               3.420e-09       4.650e-09       2.860e-09       3.800e-09       4.090e-09       2.360e-09       3.040e-09       1.950e-09       2.330e-09
9               3.680e-09       4.790e-09       3.520e-09       4.590e-09       4.640e-09       2.360e-09       2.370e-09       2.340e-09       2.360e-09
10              3.930e-09       5.760e-09       3.950e-09       5.420e-09       5.480e-09       2.630e-09       2.650e-09       2.570e-09       2.600e-09
11              4.180e-09       6.180e-09       4.060e-09       6.260e-09       6.270e-09       2.880e-09       2.830e-09       2.840e-09       2.860e-09
12              4.340e-09       6.650e-09       3.720e-09       5.860e-09       6.250e-09       2.530e-09       3.040e-09       3.030e-09       3.090e-09
13              4.530e-09       7.110e-09       4.580e-09       6.010e-09       6.350e-09       2.470e-09       2.660e-09       3.240e-09       3.270e-09
14              4.880e-09       7.350e-09       4.990e-09       6.870e-09       6.970e-09       2.780e-09       2.820e-09       3.480e-09       3.570e-09
15              5.280e-09       7.710e-09       4.890e-09       7.640e-09       7.730e-09       3.000e-09       3.020e-09       3.540e-09       4.010e-09
16              5.550e-09       8.290e-09       4.800e-09       5.170e-09       5.660e-09       2.720e-09       3.240e-09       1.930e-09       2.580e-09
17              5.920e-09       8.740e-09       5.420e-09       5.470e-09       6.020e-09       2.800e-09       2.610e-09       2.070e-09       2.590e-09
18              6.540e-09       9.020e-09       5.800e-09       6.020e-09       6.600e-09       3.010e-09       2.820e-09       2.780e-09       2.800e-09
19              7.150e-09       9.400e-09       6.110e-09       6.940e-09       7.290e-09       3.250e-09       3.040e-09       2.980e-09       3.090e-09
20              6.720e-09       9.910e-09       6.140e-09       7.260e-09       8.080e-09       2.930e-09       3.310e-09       3.230e-09       3.320e-09
21              7.020e-09       1.040e-08       6.590e-09       7.440e-09       8.150e-09       3.000e-09       2.630e-09       3.480e-09       3.490e-09
22              7.560e-09       1.080e-08       7.170e-09       7.790e-09       8.610e-09       3.230e-09       2.890e-09       3.670e-09       3.950e-09
23              7.800e-09       1.150e-08       7.150e-09       8.220e-09       8.980e-09       3.450e-09       3.060e-09       3.990e-09       4.290e-09
