PRIMES ++ :
p = 2**u + 2**v + 1, u+1 bits, with 64 > u > v > 0

PRIMES -+ :
p = 2**u - 2**v + 1, u+1 bits, with 64 > u > v > 0


-+: 47, 25, 140737454800897
++: 49, 30, 562951027163137
-+: 49, 30, 562948879679489
-+: 49, 33, 562941363486721
++: 50, 29, 1125900443713537
++: 51, 25, 2251799847239681
++: 51, 29, 2251800350556161
++: 51, 34, 2251816993554433
-+: 53, 34, 9007182074871809
++: 53, 36, 9007267974217729
++: 53, 38, 9007474132647937
-+: 54, 30, 18014397435740161
++: 54, 33, 18014407099416577
-+: 54, 38, 18014123631575041
-+: 55, 29, 36028796482093057
++: 55, 34, 36028814198833153
-+: 56, 32, 72057589742960641
-+: 57, 38, 144114913197948929
-+: 58, 34, 288230358971842561
-+: 59, 28, 576460752034988033
-+: 59, 35, 576460717943685121
++: 60, 33, 1152921513196781569
-+: 61, 26, 2305843009146585089
-+: 62, 46, 4611615649683210241


